accident_reference,year,slightsevere,sex_of_casualty,age_band_of_casualty,under21,over65,casualty_home_area_type,casualty_imd_decile,casualty_depdecile,number_of_vehicles,number_of_casualties,road_type,speed_limit,at_junction,light_conditions,weather_effect,road_wetness,special_conditions,trunk_road_flag,bike_movement,restricted_lane,hit_object_in_carriageway,hit_object_off_carriageway,hit_object,first_point_of_impact,date,time,day_of_week,local_authority_district,local_authority_ons_district,urban_or_rural_area,latitude,longitude,lsoa_of_accident_location,Mean_age,Median_age,total_car_hh,no_car_hh,X1_car_hh,X2_car_hh,X3_car_hh,X16_74_all,X16_74_2km,X16_74_2_5km,X16_74_5_10km,X16_74_10_20km,X16_74_20_30km,X16_74_30_40km,X16_74_40_60km,X16_74_60km,X16_74_home_based,X16_74_other,density._persons,usual_residents_persons,land_area,hh_size_mean,hh_size_1,hh_size_2,hh_size_3,hh_size_4,hh_size_5,hh_size_6,hh_size_7,trans_mode_home,trans_mode_tram,trans_mode_rail,trans_mode_bus,trans_mode_taxi,trans_mode_scooter,trans_mode_car,trans_mode_psgr_car,trans_mode_bike,trans_mode_walk,trans_mode_other,cycling_lane_km,cycling_lane_km_norm,tram_rail_count,bus_count,bike_theft_reports,road_length,severance_km
06M167782,2020,Severe/Fatal,Male,46 - 55,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,1,Daylight,0,1,0,Non-trunk,1,1,1,1,Both,1,2020-01-16,13:08:00,Thursday,Trafford,E08000009,Urban,53.461549,-2.288223,E01006186,34.47029204,34,947,354,376,182,35,1094,129,239,118,65,10,2,9,16,371,135,29.4599018,2160,73.32,345,292,132,110,38,16,7,7,371,59,7,63,12,3,387,36,43,96,15,2.582238089,3.57e-6,1,26,64,8739.468288,2.622165561
06M168502,2020,Severe/Fatal,Male,36 - 45,0,0,Urban area,Less deprived 40-50%,6,2,1,Dual carriageway,30,0,Darkness - lights lit,1,1,0,Non-trunk,1,1,1,1,Both,4,2020-01-02,18:15:00,Thursday,Trafford,E08000009,Urban,53.450946,-2.301493,E01006142,40.9544688,41,752,229,326,151,46,744,61,125,115,38,5,5,5,8,297,85,26.57169402,1716,64.58,292,211,111,78,34,13,5,8,297,35,2,23,6,6,294,17,23,35,8,1.939546408,3e-6,0,7,9,6885.404253,2.6848450169999998
06M168950,2020,Slight,Male,56 - 65,0,0,Urban area,More deprived 40-50%,5,2,1,Single carriageway,30,0,Darkness - lights lit,1,1,0,Non-trunk,1,1,1,1,Both,4,2020-02-24,05:25:00,Monday,Trafford,E08000009,Urban,53.443438,-2.312972,E01006179,43.18583569,46,850,290,356,149,55,859,62,155,142,57,7,6,5,8,305,112,26.63316583,1802,67.66,367,239,116,80,32,16,3,0,305,19,4,50,11,1,354,31,33,48,2,2.066249982,3.06e-6,0,11,9,7093.096753,2.504520221
06M170226,2020,Slight,Male,36 - 45,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,1,1,0,Non-trunk,1,1,1,1,Both,4,2020-03-18,05:43:00,Wednesday,Trafford,E08000009,Urban,53.44342,-2.312957,E01006179,43.18583569,46,850,290,356,149,55,859,62,155,142,57,7,6,5,8,305,112,26.63316583,1802,67.66,367,239,116,80,32,16,3,0,305,19,4,50,11,1,354,31,33,48,2,2.066249982,3.06e-6,0,11,9,7093.096753,2.504520221
06M170334,2020,Severe/Fatal,Male,56 - 65,0,0,Urban area,More deprived 10-20%,2,2,1,Dual carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-03-23,12:45:00,Monday,Trafford,E08000009,Rural,53.469517,-2.362528,E01006121,41.53514589,45,597,78,306,168,45,694,117,98,119,51,5,1,8,5,189,101,2.647166362,1448,547,136,224,127,84,25,3,0,0,189,7,3,29,10,4,357,24,21,44,6,19.54034386,3.58e-6,2,112,117,31815.02923,18.20887304
06M170717,2020,Severe/Fatal,Female,36 - 45,0,0,Urban area,Least deprived 10%,10,2,1,Dual carriageway,40,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-04-13,14:15:00,Monday,Trafford,E08000009,Urban,53.443039,-2.31056,E01006179,43.18583569,46,850,290,356,149,55,859,62,155,142,57,7,6,5,8,305,112,26.63316583,1802,67.66,367,239,116,80,32,16,3,0,305,19,4,50,11,1,354,31,33,48,2,2.066249982,3.06e-6,0,11,9,7093.096753,2.504520221
06M170736,2020,Slight,Female,6 - 10,1,0,Urban area,Less deprived 20-30%,8,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-04-14,16:00:00,Tuesday,Trafford,E08000009,Urban,53.447505,-2.384851,E01006131,41.45364032,44,623,95,238,217,73,756,56,87,105,95,21,6,3,5,278,100,25.17701301,1529,60.73,178,194,114,87,35,8,6,0,278,3,11,19,4,1,354,29,16,31,7,0.04667355,7.68e-8,0,14,1,5732.149266,2.293930198
06M171453,2020,Severe/Fatal,Male,16 - 20,1,0,Urban area,Less deprived 10-20%,9,2,1,Roundabout,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-05-20,14:30:00,Wednesday,Trafford,E08000009,Urban,53.457317,-2.357304,E01006118,41.65563808,43,668,150,305,158,55,706,87,82,127,58,4,6,1,5,256,80,39.0491453,1462,37.44,249,198,109,88,19,5,3,0,256,5,2,29,4,1,329,16,8,50,9,0.794491674,2.13e-6,0,9,4,6020.637123,1.25658874
06M171832,2020,Slight,Female,26 - 35,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-06-02,19:50:00,Tuesday,Trafford,E08000009,Urban,53.452403,-2.343997,E01006119,42.49149338,46,634,66,269,230,69,802,100,106,131,72,10,5,5,10,291,72,63.1842714,1639,25.94,116,242,128,107,28,8,3,2,291,4,7,17,8,6,388,24,8,39,9,0.524778281,2.03e-6,0,3,1,5396.779685,1.084064643
06M172189,2020,Slight,Female,36 - 45,0,0,Urban area,Less deprived 10-20%,9,2,1,Dual carriageway,20,0,Darkness - lights lit,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-06-21,23:00:00,Sunday,Trafford,E08000009,Urban,53.451793,-2.300611,E01006142,40.9544688,41,752,229,326,151,46,744,61,125,115,38,5,5,5,8,297,85,26.57169402,1716,64.58,292,211,111,78,34,13,5,8,297,35,2,23,6,6,294,17,23,35,8,1.939546408,3e-6,0,7,9,6885.404253,2.6848450169999998
